GAL,Uniprot,Annotation
CXCL6,P80162,gallbladder*parathyroid*pituitary*adipose
DRD5,P21918,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPR174,Q9BXC1,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
IGHV1-58,A0A0C4DH39,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGHV1OR15-1,,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IGKV1D-8,A0A087WSZ0,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV3-16,A0A075B6K0,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
KRT9,P35527,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PLA2G2E,Q9NZK7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RGPD3,A6NKT7,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC9A5,Q14940,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
STAB2,Q8WWQ8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TRAJ50,,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRAV12-2,A0A075B6T6,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRAV6,A0A075B6T7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRBV23-1,A0A0A0MS06,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRBV29-1,A0A5B7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRDJ2,,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRGV2,A0A075B6R0,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
UBD,O15205,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
C11orf16,Q9NQ32,fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CEACAM4,O75871,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
IGKV2D-40,P01614,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV4-3,A0A075B6K6,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IL17REL,Q6ZVW7,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LILRA1,O75019,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
NCAPD3,P42695,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TMPRSS9,Q7Z410,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
TRAV5,A0A0B4J249,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRAV8-3,A0A0A6YYJ7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
TRBV24-1,A0A075B6N3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
ACOD1,A6NK06,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ADA2,Q9NZK5,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ADCY7,P51828,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ADCYAP1,P18509,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
ADGRE2,Q9UHX3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
ADRA1B,P35368,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
AIRE,O43918,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
AMTN,Q6UX39,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ANKRD55,Q3KP44,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
APLNR,P35414,placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ARHGAP19,Q14CB8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CALHM6,Q5R3K3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
CBX2,Q14781,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CCDC88B,A6NC98,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
CEP128,Q6ZU80,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CEP55,Q53EZ4,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CIB2,O75838,heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CIITA,P33076,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CLEC20A,Q6ZU45,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CNTRL,Q7Z7A1,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
COL19A1,Q14993,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
CROCC2,H7BZ55,fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CSAG2,Q9Y5P2,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DEFB103A,P81534,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DENND2D,Q9H6A0,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
DNA2,P51530,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
DOCK10,Q96BY6,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DRP2,Q13474,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
E2F5,Q15329,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
EMID1,Q96A84,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
FAM163A,Q96GL9,pituitary*adipose
FAM72A,Q5TYM5,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
FCRLB,Q6BAA4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
FNBP1,Q96RU3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
GIMAP1,Q8WWP7,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
GIMAP1-GIMAP5,,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GLCCI1,Q86VQ1,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GPR182,O15218,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GPR31,O00270,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GRAP,Q13588,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
GRAPL,Q8TC17,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HIVEP3,Q5T1R4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HLA-B,P01889,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
HLA-C,P10321,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
HLA-DMA,P28067,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HLA-DOA,P06340,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
HLA-F,P30511,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
IGF2BP3,O00425,placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGHD3-9,,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IGHG2,P01859,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGHV1-69D,A0A0B4J2H0,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGHV3-43,A0A0B4J1X8,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGHV4-4,A0A075B6R2,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGKV1-33,P01594,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGKV1D-33,P01593,gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV1-36,A0A0B4J1U3,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV1-40,P01703,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV11-55,A0A075B6I3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV3-12,A0A075B6K2,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV3-21,P80748,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV3-25,P01717,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV3-9,A0A075B6K5,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IGLV6-57,P01721,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IL17A,Q16552,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
IL17F,Q96PD4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
KCNIP3,Q9Y2W7,parathyroid*pituitary*adipose
KCNT1,Q5JUK3,skeletal*gallbladder*parathyroid*pituitary*adipose
LHX8,Q68G74,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LINGO3,P0C6S8,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LPXN,O60711,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
LRRC55,Q6ZSA7,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MCUB,Q9NWR8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MILR1,Q7Z6M3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MS4A7,Q9GZW8,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
MTRFR,Q9H3J6,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MYBL1,P10243,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*t cells*monocyte
MYCT1,Q8N699,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MYO9B,Q13459,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
N4BP2,Q86UW6,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NAIP,Q13075,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NCAPD2,Q15021,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
NCKAP1L,P55160,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
NETO2,Q8NC67,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
NFKBIE,O00221,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
NLRP4,Q96MN2,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NPY1R,P25929,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NPY5R,Q15761,adipose
OLAH,Q9NV23,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
OR10AC1,Q8NH08,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PAXIP1,Q6ZW49,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PCSK6,P29122,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PDE2A,O00408,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PI15,O43692,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PIF1,Q9H611,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
PITPNM3,Q9BZ71,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PLEKHG1,Q9ULL1,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
POC1A,Q8NBT0,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
